run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_simple_daily_report,L1,resolved,True,1.0,88906,5,50806,46445,4361,0,2864,50806,1618,0,0,0.006389,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_defect_list,L1,resolved,True,1.0,64053,5,38359,34159,4200,0,2732,38359,2400,0,0,0.005096,CW-WEAK-WARM,,,,True,True,0.1,680
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_safety_protocol,L1,resolved,True,1.0,61494,5,32492,27548,4944,0,4481,32492,2279,0,0,0.004732,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_material_delivery_log,L1,resolved,True,1.0,46975,5,31493,27900,3593,0,3087,31493,2412,0,0,0.004227,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_weather_delay_report,L1,resolved,True,1.0,84042,5,69918,62515,7403,0,2795,47402,3679,22516,0,0.009213,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_daily_workforce_report,L1,resolved,True,1.0,83698,5,39268,35288,3980,0,5557,39268,2084,0,0,0.005121,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_concrete_pour_protocol,L1,resolved,True,1.0,66801,5,37324,33736,3588,0,2827,37324,1666,0,0,0.004809,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L1_site_handover_note,L1,resolved,True,1.0,92829,5,46994,41558,5436,0,5531,46994,1770,0,0,0.00633,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_combined_defect_safety,L2,resolved,True,0.857,92103,5,42657,34759,7898,0,2912,32754,4960,9903,0,0.006635,CW-WEAK-WARM,Die Besprechung fand auf der Baustelle Industriepark Nord am 14.04.2026 statt,,,True,True,0.175,657
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_daily_with_supplements,L2,resolved,True,1.0,329186,5,202946,188306,14640,0,5923,68979,2832,2973,0,0.024687,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_multi_trade_inspection,L2,resolved,True,1.0,74341,5,51250,44143,7107,0,2957,51250,2120,0,0,0.007257,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_subcontractor_coordination,L2,resolved,True,0.857,106159,5,73961,65098,8863,0,2920,58228,3603,15733,0,0.010055,CW-WEAK-WARM,Die Besprechung fand auf der Baustelle Einkaufszentrum CityPlaza am 11.04.2026 statt,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_weekly_progress_summary,L2,resolved,True,1.0,112848,5,68640,62272,6368,0,2919,68640,1888,0,0,0.008774,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_quality_audit_report,L2,resolved,True,1.0,69200,5,40866,34311,6555,0,2898,40866,1908,0,0,0.006053,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_rework_documentation,L2,resolved,True,1.0,86448,5,36504,30432,6072,0,4972,36504,2670,0,0,0.005472,CW-WEAK-WARM,,,,True,False,0.0,0
b88791b9-4fe4-424b-b2d1-cbe3a08f9e41,progressive_complexity,3,L2_site_meeting_minutes,L2,resolved,True,1.0,95535,5,34610,28453,6157,0,3995,34610,2681,0,0,0.005308,CW-WEAK-WARM,,,,True,False,0.0,0
