run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L1_server_outage,L1,resolved,False,0.889,212097,5,54494,44991,9503,0,1980,15416,3019,2400,0,0.0083,DT-WEAK-COLD,,Vorfalldaten,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L1_network_disruption,L1,resolved,False,0.9,54181,5,29280,25059,4221,0,3695,29280,1895,0,0,0.004194,DT-WEAK-COLD,,Vorfalldaten,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L1_password_reset_incident,L1,resolved,False,0.8,50254,5,23448,18736,4712,0,2402,23448,2479,0,0,0.003758,DT-WEAK-COLD,,Ticketdaten;Analyse,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L2_multi_team_incident,L2,resolved,True,1.0,113965,5,47980,39806,8174,0,3361,31810,3960,16170,0,0.00725,DT-WEAK-COLD,,,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L2_change_incident_combined,L2,build_failed,False,0.0,190000,0,0,0,0,0,0,0,0,0,0,0.0,DT-WEAK-COLD,,,,False,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L2_capacity_planning,L2,resolved,False,0.833,112984,5,39737,33705,6032,0,4610,39737,1979,0,0,0.005783,DT-WEAK-COLD,,Ist-Zustand;Wachstumsanalyse,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L3_root_cause_analysis,L3,resolved,False,0.769,86358,5,25253,20665,4588,0,9353,25253,2295,0,0,0.003902,DT-WEAK-COLD,Root-Cause,Timeline;Root-Cause,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L3_postmortem_with_impact,L3,resolved,False,0.692,90153,5,36037,29295,6742,0,2841,36037,2313,0,0,0.005626,DT-WEAK-COLD,Post-Mortem,Vorfallzusammenfassung;Timeline;Root-Cause,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L3_disaster_recovery_test,L3,resolved,False,0.917,124967,5,45884,37727,8157,0,2579,45884,2328,0,0,0.007036,DT-WEAK-COLD,,Empfehlungen,,True,False,0.0,0
0620eef8-7341-4b99-8c12-795dca167821,domain_transfer,2,IT_L4_security_breach_analysis,L4,resolved,False,0.857,66422,5,27011,22036,4975,0,2735,27011,2609,0,0,0.004194,DT-WEAK-COLD,,Vorfallzusammenfassung;Auswirkung,,True,False,0.0,0
