run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L3_acceptance_protocol,L3,resolved,True,1.0,155489,5,98698,90590,8108,0,2350,88205,3416,10493,0,0.018453,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L3_progress_with_cost_comparison,L3,resolved,True,1.0,1296808,5,38710,33355,5355,0,2966,38710,2170,0,0,0.008216,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L3_safety_incident_report,L3,resolved,True,1.0,80319,5,43902,35603,8299,0,3136,43902,2713,0,0,0.01032,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L3_structural_assessment,L3,resolved,True,1.0,78009,5,34259,29204,5055,0,3065,34259,2322,0,0,0.007414,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L3_environmental_compliance,L3,resolved,True,1.0,85103,5,31664,25815,5849,0,6203,31664,2370,0,0,0.007382,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L3_schedule_variance_analysis,L3,resolved,True,1.0,126689,5,41601,37387,4214,0,6222,41601,2103,0,0,0.008136,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L3_warranty_claim_report,L3,build_failed,False,0.0,35000,0,0,0,0,0,0,0,0,0,0,0.0,U-MEDIUM-L3L5,,,,False,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L4_fire_safety_audit,L4,resolved,True,1.0,65624,5,36962,30804,6158,0,3394,36962,2344,0,0,0.008315,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L4_energy_evaluation,L4,resolved,True,1.0,75908,5,37264,31630,5634,0,2485,37264,2096,0,0,0.008125,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L4_procurement_documentation,L4,resolved,True,1.0,68521,5,55063,44930,10133,0,3399,20524,6080,37347,0,0.012819,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L4_noise_protection_assessment,L4,resolved,True,1.0,94811,5,45231,37878,7353,0,3292,45231,2434,0,0,0.010094,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L4_facade_inspection_report,L4,resolved,True,1.0,166509,5,93634,85272,8362,0,3096,93634,2925,0,0,0.017808,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L4_demolition_planning_report,L4,failed,False,0.0,121088,5,43253,37952,5301,0,2664,20675,2886,2630,0,0.008873,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L4_accessibility_audit,L4,resolved,True,1.0,219814,5,44795,36778,8017,0,7294,44795,2420,0,0,0.010327,U-MEDIUM-L3L5,,,,True,False,0.0,0
a79026b1-2975-4141-8245-0aba0f64ba66,progressive_complexity,2,L5_schema_discovery_report,L5,resolved,True,0.889,586909,5,1140538,1125989,14549,0,3063,1140538,2673,0,0,0.177628,U-MEDIUM-L3L5,Gesamtkosten werden als Summe berechnet und dem Budget gegenübergestellt,,,True,False,0.0,0
