run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_simple_daily_report,L1,resolved,True,1.0,127156,5,47464,39580,7884,0,2024,19890,2464,2347,0,0.007112,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_defect_list,L1,resolved,True,1.0,55262,5,24147,20642,3505,0,3127,24147,1607,0,0,0.003466,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_safety_protocol,L1,failed,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,U-WEAK-FULL,,,,False,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_material_delivery_log,L1,resolved,True,1.0,45151,5,21124,17614,3510,0,3150,21124,2033,0,0,0.003165,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_weather_delay_report,L1,resolved,True,1.0,88141,5,29924,26070,3854,0,3088,29924,1548,0,0,0.004149,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_daily_workforce_report,L1,resolved,True,1.0,167974,5,76126,68141,7985,0,2682,76126,2127,0,0,0.010008,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_concrete_pour_protocol,L1,resolved,True,1.0,40509,5,26424,22604,3820,0,3016,26424,2404,0,0,0.003788,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L1_site_handover_note,L1,resolved,True,1.0,30327,5,12649,10883,1766,0,2292,12649,2135,0,0,0.001795,U-WEAK-FULL,,,,True,True,0.09,626
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_combined_defect_safety,L2,resolved,True,0.857,140066,5,51128,42467,8661,0,3226,36327,4359,14801,0,0.007711,U-WEAK-FULL,Die Besprechung fand auf der Baustelle Industriepark Nord am 14.04.2026 statt,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_daily_with_supplements,L2,resolved,True,1.0,54875,5,35871,30049,5822,0,2795,35871,2186,0,0,0.005334,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_multi_trade_inspection,L2,resolved,True,1.0,63894,5,44613,37480,7133,0,2498,44613,2196,0,0,0.006601,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_subcontractor_coordination,L2,resolved,True,1.0,54678,5,36383,30563,5820,0,3656,36383,2004,0,0,0.005384,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_weekly_progress_summary,L2,failed,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,U-WEAK-FULL,,,,False,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_quality_audit_report,L2,resolved,True,1.0,88035,5,25285,20305,4980,0,7711,25285,3212,0,0,0.004023,U-WEAK-FULL,,,,True,True,0.1,661
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_rework_documentation,L2,resolved,True,1.0,69626,5,30227,25126,5101,0,3802,30227,1920,0,0,0.004553,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L2_site_meeting_minutes,L2,resolved,True,1.0,78576,5,27022,21085,5937,0,3763,27022,2374,0,0,0.004483,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L3_acceptance_protocol,L3,resolved,True,1.0,222163,5,40022,32454,7568,0,4090,40022,2246,0,0,0.006273,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L3_progress_with_cost_comparison,L3,failed,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,U-WEAK-FULL,,,,False,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L3_safety_incident_report,L3,resolved,True,1.0,45082,5,34112,29251,4861,0,3727,34112,2197,0,0,0.004869,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L3_structural_assessment,L3,resolved,True,1.0,62460,5,31835,25299,6536,0,4172,31835,2936,0,0,0.005144,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L3_environmental_compliance,L3,resolved,True,1.0,66879,5,25864,20162,5702,0,3148,25864,2638,0,0,0.004297,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L3_schedule_variance_analysis,L3,resolved,True,1.0,55747,5,30558,24781,5777,0,3800,30558,2261,0,0,0.004789,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L3_warranty_claim_report,L3,build_failed,False,0.0,90000,0,0,0,0,0,0,0,0,0,0,0.0,U-WEAK-FULL,,,,False,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L4_fire_safety_audit,L4,resolved,True,1.0,64421,5,40228,33145,7083,0,3426,40228,2359,0,0,0.006148,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L4_energy_evaluation,L4,resolved,True,1.0,74898,5,46973,39809,7164,0,4728,46973,2240,0,0,0.006847,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L4_procurement_documentation,L4,resolved,False,0.571,73797,5,46374,41341,5033,0,4118,33603,3113,12771,0,0.006147,U-WEAK-FULL,"Bieter 2 Zimmerei Wald: 298.100 EUR, Eignungsnachweis Haftpflicht fehlt (nachgefordert gem. §16a VOB/A);Bieter 3 BedachungsCenter: 245.890 EUR, Ausschluss wegen nicht gekennzeichnetem Nebenangebot (§16 Abs. 1 Nr. 1c VOB/A);Bieter 5 Express-Bau: Ausschluss wegen verspaetem Eingang (§14a VOB/A)",,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L4_noise_protection_assessment,L4,resolved,True,1.0,79130,5,53444,44655,8789,0,3328,53444,2644,0,0,0.007981,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L4_facade_inspection_report,L4,failed,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,U-WEAK-FULL,,,,False,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L4_demolition_planning_report,L4,resolved,True,1.0,72629,5,36803,28657,8146,0,3464,36803,2681,0,0,0.006124,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L4_accessibility_audit,L4,resolved,True,1.0,101867,5,45087,38211,6876,0,4085,45087,2455,0,0,0.006572,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L5_schema_discovery_report,L5,resolved,False,0.667,267216,5,1441638,1423116,18522,0,2258,1441638,4652,1625,0,0.14972,U-WEAK-FULL,Projekt 'Sanierung Grundschule Am Park' wird identifiziert;Rohbau-Fortschritt wird korrekt mit ca. 85% angegeben;Gesamtkosten werden als Summe berechnet und dem Budget gegenübergestellt,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L5_etl_quarterly_report,L5,resolved,False,0.8,108822,5,103318,92659,10659,0,2718,103318,5544,5105,0,0.013529,U-WEAK-FULL,Gesamtstunden Rohbau Schmidt werden mit ca. 680h angegeben;Gesamtstunden Elektro Müller werden mit ca. 420h angegeben,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L5_audio_tagesbericht_rohbau,L5,build_failed,False,0.0,590000,0,0,0,0,0,0,0,0,0,0,0.0,U-WEAK-FULL,,,,False,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L5_audio_begehung_maengel,L5,resolved,True,1.0,82662,5,53372,44966,8406,0,5452,53372,3832,0,0,0.007859,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L5_audio_bauleitungssitzung,L5,resolved,True,1.0,87130,5,54693,44926,9767,0,4954,54693,4854,0,0,0.008399,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L5_audio_telefonat_statiker,L5,resolved,True,1.0,89616,5,50651,44583,6068,0,3696,50651,2988,0,0,0.006886,U-WEAK-FULL,,,,True,False,0.0,0
bfa7a6ac-14a6-4abb-9bbe-bed3c7757315,progressive_complexity,2,L5_audio_sicherheitsbericht,L5,resolved,True,1.0,57466,5,35251,29333,5918,0,4070,35251,3611,0,0,0.0053,U-WEAK-FULL,,,,True,False,0.0,0
