run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,missing_keywords,missing_sections,error
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_simple_daily_report,L1,resolved,True,1.0,38532,11,65353,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_defect_list,L1,resolved,True,1.0,28362,11,65006,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_safety_protocol,L1,resolved,True,1.0,23774,11,61573,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_material_delivery_log,L1,resolved,True,1.0,16827,11,55421,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_weather_delay_report,L1,resolved,True,1.0,44116,11,59197,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_daily_workforce_report,L1,resolved,True,1.0,16571,11,56278,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_concrete_pour_protocol,L1,resolved,True,1.0,34276,11,67190,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L1_site_handover_note,L1,resolved,True,1.0,12969,11,48349,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_combined_defect_safety,L2,build_failed,False,0.0,5000,0,0,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_daily_with_supplements,L2,build_failed,False,0.0,5000,0,0,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_multi_trade_inspection,L2,resolved,True,0.857,20494,11,67135,Koordination Elektro/Trockenbau wegen Deckenabhaengung erforderlich,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_subcontractor_coordination,L2,resolved,True,1.0,21264,11,63353,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_weekly_progress_summary,L2,resolved,True,1.0,23478,11,61443,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_quality_audit_report,L2,resolved,True,1.0,14916,11,56779,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_rework_documentation,L2,resolved,True,1.0,15940,11,58029,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L2_site_meeting_minutes,L2,resolved,True,0.857,15668,11,58425,Die naechste Sitzung findet am 22.04 statt,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L3_acceptance_protocol,L3,resolved,True,1.0,31246,11,64690,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L3_progress_with_cost_comparison,L3,resolved,False,0.714,15785,11,57737,"Haustechnik ist zu 40% fertig (Plan: 35%), voraus wegen fruehzeitigem Beginn;Nachtrag 1: Bodenplattensanierung 35.000 EUR (genehmigt), Nachtrag 2: Entsorgung 22.000 EUR (in Pruefung)",,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L3_safety_incident_report,L3,resolved,True,0.875,23574,11,63783,"Verletzungen: Prellung linker Unterarm und Huefte, keine Fraktur",,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L3_structural_assessment,L3,resolved,True,1.0,17390,11,59620,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L3_environmental_compliance,L3,resolved,True,1.0,41826,11,61637,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L3_schedule_variance_analysis,L3,resolved,True,0.857,15554,11,58152,"Der kritische Pfad ist: Gruendung, Rohbau, Fassade, Innenausbau, TGA-Inbetriebnahme, Abnahme",,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L3_warranty_claim_report,L3,resolved,True,1.0,23845,11,65621,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L4_fire_safety_audit,L4,resolved,True,1.0,16969,11,60066,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L4_energy_evaluation,L4,resolved,True,1.0,65364,11,61372,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L4_procurement_documentation,L4,resolved,True,1.0,15030,11,58754,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L4_noise_protection_assessment,L4,resolved,True,1.0,20990,11,63881,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L4_facade_inspection_report,L4,resolved,False,0.75,17183,11,63386,"Das Objekt ist Wohnhochhaus Turmblick, 16 Stockwerke, Baujahr 1978, WDVS-Sanierung 2005;Suedseite: Undichter Anschluss Fensterbank/WDVS bei 3 Fenstern im 7.OG",,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L4_demolition_planning_report,L4,resolved,True,1.0,22421,11,64772,,,
f1e4536d-65fb-4bf8-8cfe-a65f3c743b2e,progressive_complexity,2,L4_accessibility_audit,L4,resolved,True,1.0,17139,11,64172,,,
