run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,missing_keywords,missing_sections,error
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_simple_daily_report,L1,resolved,True,1.0,109597,5,41100,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_defect_list,L1,resolved,True,1.0,49143,5,19374,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_safety_protocol,L1,resolved,True,1.0,70520,5,34061,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_material_delivery_log,L1,resolved,True,1.0,33868,5,17699,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_weather_delay_report,L1,resolved,True,1.0,168692,5,20684,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_daily_workforce_report,L1,resolved,True,0.857,90666,5,22536,Die Arbeitszeit war von 07:00 bis 16:30 mit Pause von 12:00 bis 12:30,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_concrete_pour_protocol,L1,resolved,True,1.0,112269,5,22063,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L1_site_handover_note,L1,resolved,True,1.0,117334,5,18674,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_combined_defect_safety,L2,resolved,True,1.0,105976,5,27715,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_daily_with_supplements,L2,resolved,True,1.0,142502,5,20782,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_multi_trade_inspection,L2,resolved,True,1.0,112364,5,28050,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_subcontractor_coordination,L2,resolved,True,0.857,70393,5,23653,Die Besprechung fand auf der Baustelle Einkaufszentrum CityPlaza am 11.04.2026 statt,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_weekly_progress_summary,L2,resolved,True,0.857,110191,5,25660,Durchschnittlich waren 18 Arbeiter pro Tag im Einsatz,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_quality_audit_report,L2,resolved,True,0.857,65404,5,22461,"Gesamtbewertung: 2 kleine Abweichungen, keine schwerwiegenden Maengel",,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_rework_documentation,L2,resolved,True,1.0,134919,5,26330,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L2_site_meeting_minutes,L2,resolved,True,0.857,121142,5,26595,Es handelt sich um Jour Fixe Nr. 22 auf der Baustelle Quartier Westend am 15.04.2026,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L3_acceptance_protocol,L3,resolved,False,0.5,161886,5,60430,"Mangel 1: Balkon EG Gefaelle 1,0% statt 2% nach DIN 18195, Schaetzkosten 4.800 EUR;Mangel 2: Trittschalldaemmung nicht normgerecht (56 dB gemessen, max 53 dB nach DIN 4109), Kosten 12.500 EUR;Mangel 3: Heizkoerper zu klein dimensioniert (800W statt 1.200W), Kosten 950 EUR;Mangel 4: Aufzugstuer Spalt 12mm statt max 6mm nach DIN EN 81-20, Kosten 2.200 EUR",,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L3_progress_with_cost_comparison,L3,resolved,True,1.0,153457,5,60950,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L3_safety_incident_report,L3,resolved,True,1.0,211663,5,61407,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L3_structural_assessment,L3,resolved,True,1.0,236526,5,68151,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L3_environmental_compliance,L3,resolved,False,0.571,185503,5,57812,"Laermschutz: Schallpegel 52 dB(A) gemessen, max 55 dB(A) erlaubt — erfuellt;Grundwasser: Monitoring Pegel GW-3 und GW-7, pH 7.1, keine Auffaelligkeiten;Artenschutz: Rodung am 28.02 vor der Brutzeit (01.03-30.09) — konform",,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L3_schedule_variance_analysis,L3,resolved,True,0.857,207866,5,66630,"Der kritische Pfad ist: Gruendung, Rohbau, Fassade, Innenausbau, TGA-Inbetriebnahme, Abnahme",,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L3_warranty_claim_report,L3,resolved,True,1.0,105786,5,33076,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L4_fire_safety_audit,L4,resolved,True,1.0,97936,5,28297,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L4_energy_evaluation,L4,resolved,True,0.875,95738,5,28252,Effizienzklasse B,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L4_procurement_documentation,L4,resolved,True,1.0,101036,5,26825,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L4_noise_protection_assessment,L4,resolved,True,1.0,52090,5,19938,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L4_facade_inspection_report,L4,resolved,True,0.875,91812,5,27973,"Geschaetzte Kosten: Nordseite 45.000, Ost 28.000, Sued 12.000 EUR, Gesamt 85.000 EUR",,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L4_demolition_planning_report,L4,resolved,True,0.875,186696,5,33079,Gesamtkosten 385.000 EUR,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L4_accessibility_audit,L4,resolved,True,1.0,109032,5,29615,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L5_schema_discovery_report,L5,timeout,False,0.0,1200000,0,0,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L5_etl_quarterly_report,L5,failed,False,0.0,563715,11,183078,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L5_audio_tagesbericht_rohbau,L5,build_timeout,False,0.0,1020000,0,0,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L5_audio_begehung_maengel,L5,build_failed,False,0.0,205000,0,0,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L5_audio_bauleitungssitzung,L5,build_failed,False,0.0,205000,0,0,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L5_audio_telefonat_statiker,L5,build_failed,False,0.0,205000,0,0,,,
c85ad5a1-4629-4517-9af8-a2669ac0686c,progressive_complexity,1,L5_audio_sicherheitsbericht,L5,timeout,False,0.0,1200000,0,0,,,
